taxi_id,trip_start_timestamp,trip_end_timestamp,trip_seconds,trip_miles,pickup_census_tract,dropoff_census_tract,pickup_community_area,dropoff_community_area,fare,tips,tolls,extras,trip_total,payment_type,company,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude
3829,2016-12-4 21:15:00,2016-12-4 21:15:00,300,0.7,,792,8,8,5.25,3.00,0.00,1.00,9.25,Credit Card,101,210,470,419,615
2702,2016-12-16 15:45:00,2016-12-16 16:00:00,480,0.7,,504,8,32,6.50,0.00,0.00,0.00,6.50,Cash,92,419,615,744,605
2059,2016-12-14 19:15:00,2016-12-14 19:30:00,1020,1.2,,749,32,28,9.25,0.00,0.00,0.00,9.25,Cash,10,18,610,681,196
7155,2016-12-7 19:30:00,2016-12-7 19:30:00,660,0,,398,8,24,7.75,2.00,0.00,0.00,9.75,Credit Card,107,170,351,100,696
6901,2016-12-1 10:15:00,2016-12-1 10:30:00,1200,0.1,,16,8,32,11.75,0.00,0.00,0.00,11.75,Cash,107,526,511,18,610
1460,2016-12-20 14:45:00,2016-12-20 15:00:00,600,0.1,,749,32,28,8.75,2.00,0.00,1.00,11.75,Credit Card,107,18,610,681,196
7155,2016-12-11 16:45:00,2016-12-11 17:00:00,780,0,,807,8,28,9.25,0.00,0.00,1.00,10.25,Cash,107,170,351,411,545
4109,2016-12-21 13:45:00,2016-12-21 14:00:00,600,0,,16,32,32,6.50,1.50,0.00,0.00,8.00,Credit Card,8,18,610,18,610
6535,2016-12-31 00:45:00,2016-12-31 00:45:00,300,1,,504,28,32,5.75,0.00,0.00,1.00,6.75,Cash,92,395,408,744,605
2005,2016-12-17 00:15:00,2016-12-17 00:15:00,60,0.2,,899,8,8,3.75,1.00,0.00,1.00,5.75,Credit Card,101,754,410,170,351
1224,2016-12-22 15:15:00,2016-12-22 15:30:00,720,1,,16,8,32,8.00,2.00,0.00,0.00,10.00,Credit Card,3,754,410,18,610
1686,2016-12-12 17:30:00,2016-12-12 17:45:00,420,1,,930,8,32,6.25,0.00,0.00,0.00,6.25,Cash,31,754,410,329,69
7642,2016-12-11 01:30:00,2016-12-11 01:30:00,240,0.6,,534,8,8,5.00,0.00,0.00,2.50,7.50,Cash,101,130,532,454,453
6435,2016-12-18 03:30:00,2016-12-18 03:45:00,420,0,,13,8,8,6.50,1.00,0.00,0.00,7.50,Credit Card,107,754,410,474,204
734,2016-12-28 22:30:00,2016-12-28 22:30:00,540,0.1,,534,32,8,8.50,2.00,0.00,0.00,10.50,Credit Card,8,18,610,454,453
6088,2016-12-10 11:30:00,2016-12-10 11:45:00,1140,2,,16,8,32,11.25,0.00,0.00,1.00,12.25,Cash,109,294,113,18,610
8696,2016-12-1 09:00:00,2016-12-1 09:30:00,1500,0,,16,6,32,16.50,0.00,0.00,0.00,16.50,Cash,43,630,208,18,610
6729,2016-12-21 23:15:00,2016-12-21 23:15:00,360,1.1,,792,8,8,6.50,2.00,0.00,0.00,8.50,Credit Card,55,294,113,419,615
7210,2016-12-7 19:00:00,2016-12-7 19:15:00,540,0,,1046,32,33,7.75,2.00,0.00,0.00,9.75,Credit Card,107,18,610,728,277
7821,2016-12-16 15:30:00,2016-12-16 16:15:00,2760,17.1,,970,76,8,43.50,8.00,0.00,5.00,56.50,Credit Card,109,225,6,210,470
3121,2016-12-15 18:45:00,2016-12-15 18:45:00,300,1,,178,6,6,5.50,0.00,0.00,0.00,5.50,Cash,107,175,675,258,2
291,2016-12-11 18:15:00,2016-12-11 18:30:00,300,0,,334,8,8,5.50,1.00,0.00,0.00,6.50,Credit Card,107,454,453,294,113
8082,2016-12-13 08:45:00,2016-12-13 09:00:00,780,1.5,,959,28,8,9.00,2.00,0.00,0.00,11.00,Credit Card,43,395,408,167,754
4918,2016-12-3 09:15:00,2016-12-3 09:30:00,420,0.1,,1046,8,33,9.00,3.00,0.00,0.00,12.00,Credit Card,8,170,351,728,277
7813,2016-12-3 19:00:00,2016-12-3 19:15:00,840,1.8,,225,32,8,9.25,0.00,0.00,0.00,9.25,Cash,10,744,605,754,410
